"code","cbs_code","name","authority_name","authority_name_moin","moin_code_col_a","moin_code_col_c","district","type","municipal_status","population","population_2024","socio_cluster_2021","cbs_socio_cluster","socio_rank_2021","socio_value_2021","periphery_cluster_2020","cbs_periphery_cluster","periphery_rank_2020","periphery_value_2020","education_expense_1486_tk","education_revenue_1384_tk","education_net_difference_tk","municipal_education_self_funding_rate","regular_budget_expense_40811_tk","regular_budget_revenue_40814_tk","own_revenue_1805_tk","own_revenue_share_pct","own_revenues_per_capita_nis","arnona_residential_4138_tk","arnona_residential_per_capita_nis","arnona_other_4146_tk","arnona_other_per_capita_nis","arnona_total_4162_tk","arnona_total_per_capita_nis","balancing_grant_1819_tk","balancing_grant_per_capita_nis","is_tamar_outlier","is_war_evacuated_2024","anomaly_classification","arnona_identity_valid","provenance"
"7200","7200","נס ציונה","נס ציונה","נס ציונה","2823","47200","המרכז","עירייה","עירייה","47267","47267","8","8","229","1.30361324482957","8","8","237","2.22908494813894","247473","188525","58948","23.82","527596","528426","313772","59.38","6638.29","106962","2262.93","101425","2145.79","208387","4408.72","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"7300","7300","נצרת","נצרת","נצרת","2795","37300","הצפון","עירייה","עירייה","75704","75704","3","3","68","-0.704061597540428","5","5","161","0.289088216027455","222160","178936","43224","19.46","615815","459676","171745","37.36","2268.64","55956","739.14","54266","716.82","110222","1455.96","44232","584.28","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"2500","2500","נשר","נשר","נשר","2813","42500","חיפה","עירייה","עירייה","22896","22896","7","7","177","0.56436274202287","5","5","156","0.25233409068926","83588","47366","36222","43.33","255149","256290","180310","70.35","7875.17","34698","1515.46","69357","3029.22","104055","4544.68","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"246","246","נתיבות","נתיבות","נתיבות","2828","50246","הדרום","עירייה","עירייה","56019","56019","3","3","58","-0.762074374473254","4","4","90","-0.277032335875226","162686","128991","33695","20.71","412007","411603","175950","42.75","3140.9","61551","1098.75","42745","763.04","104296","1861.8","50727","905.53","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"7400","7400","נתניה","נתניה","נתניה","2775","27400","המרכז","עירייה","עירייה","234813","234813","6","6","140","0.0844459044490599","7","7","223","1.50535863683445","851038","555842","295196","34.69","2161500","2161687","1393205","64.45","5933.25","507550","2161.51","396950","1690.49","904500","3852","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"7500","7500","סח'נין","סח'נין","סח'נין","3017","97500","הצפון","עירייה","עירייה","33728","33728","4","4","86","-0.511337300748412","4","4","91","-0.267655157398332","128893","121107","7786","6.04","267447","267477","78244","29.25","2319.85","26280","779.17","13455","398.93","39735","1178.1","24920","738.85","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"7600","7600","עכו","עכו","עכו","2796","37600","הצפון","עירייה","עירייה","52885","52885","4","4","88","-0.466643684386373","4","4","115","-0.0777552596151755","146115","101150","44965","30.77","538916","538960","289372","53.69","5471.72","77108","1458.03","86433","1634.36","163541","3092.39","47119","890.97","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"7700","7700","עפולה","עפולה","עפולה","2797","37700","הצפון","עירייה","עירייה","66362","66362","5","5","101","-0.327192606081898","5","5","129","0.0554344986727905","219433","160782","58651","26.73","583410","584818","347616","59.44","5238.18","87619","1320.32","130442","1965.61","218061","3285.93","5886","88.7","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"531","531","עראבה","עראבה","עראבה","2972","90531","הצפון","עירייה","עירייה","27175","27175","3","3","64","-0.728035616370649","3","3","83","-0.325854843100195","137252","121861","15391","11.21","238955","230100","56506","24.56","2079.34","23571","867.38","9990","367.62","33561","1235","28844","1061.42","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"2560","2560","ערד","ערד","ערד","2845","52560","הדרום","עירייה","עירייה","29504","29504","3","3","47","-0.875686453986326","2","2","26","-0.932314617399036","80829","57769","23060","28.53","277889","277889","132392","47.64","4487.26","37178","1260.1","27328","926.25","64506","2186.35","50668","1717.33","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"7900","7900","פתח תקווה","פתח תקווה","פתח תקווה","2776","27900","המרכז","עירייה","עירייה","270403","270403","7","7","175","0.550041056798598","9","9","248","3.08751922539663","1022115","609800","412315","40.34","2549339","2550872","1741184","68.26","6439.22","519708","1921.98","750728","2776.33","1270436","4698.31","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
